
Circuit: .options savecurrents

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000



No. of Data Rows : 1
@gb[i] = -2.53212e-04
@id[current] = 1.032010e-03
@r1[i] = 2.414774e-04
@r2[i] = 2.532123e-04
@r3[i] = -1.17349e-05
@r4[i] = -1.20106e-03
@r5[i] = -1.28522e-03
@r6[i] = 9.595831e-04
@r7[i] = 9.595831e-04
a = 8.080661e+00
b = 7.829186e+00
c = 7.306490e+00
d = 2.944539e+00
e = 7.864549e+00
f = 1.177414e+01
g1 = 9.779981e-01
g2 = 9.779981e-01
hc#branch = 7.242723e-05
va#branch = -2.41477e-04
vaux#branch = 9.595831e-04
op_TAB
@gb[i] = -2.53212e-04
@id[current] = 1.032010e-03
@r1[i] = 2.414774e-04
@r2[i] = 2.532123e-04
@r3[i] = -1.17349e-05
@r4[i] = -1.20106e-03
@r5[i] = -1.28522e-03
@r6[i] = 9.595831e-04
@r7[i] = 9.595831e-04
a = 8.080661e+00
b = 7.829186e+00
c = 7.306490e+00
d = 2.944539e+00
e = 7.864549e+00
f = 1.177414e+01
g1 = 9.779981e-01
g2 = 9.779981e-01
hc#branch = 7.242723e-05
va#branch = -2.41477e-04
vaux#branch = 9.595831e-04
op_END
